iyp_org_name,iyp_countries,iyp_n_as,tier,candidates,candidate_names
Leonardo S.p.A.,IT,2,legal_core,254900WOZB9CB1SG1O75;529900X4EEX1U9LN3U39;815600178A212187E074;8156001E441A3EE97555;8156001FB6076273FB47;8156003EF5BCEC6B8542;8156005210626B411912;8156006593AC2C8A5447;815600886EA45A8B8092;8156008ACF66844DAD59;8156008E804CDBA04A35;815600A223653D6EE715;815600A51170193DEB53;815600CFE5AAC97D1916;8945000P8N74WK398448;8945001KSYRIRQQID007;894500OXNNQNUKP3M486,Leonardo Società Semplice [ACTIVE] | LEONARDO - SOCIETA' PER AZIONI [ACTIVE] | LEONARDO SOCIETA' SEMPLICE [ACTIVE] | LEONARDO S.R.L. [ACTIVE] | LEONARDO S.R.L. [ACTIVE] | LEONARDO S.R.L. [ACTIVE] | LEONARDO S.R.L. [ACTIVE] | LEONARDO SRL [ACTIVE] | LEONARDO SRL [ACTIVE] | LEONARDO S.R.L. [ACTIVE] | LEONARDO S.R.L. [ACTIVE] | LEONARDO S.R.L. [ACTIVE] | LEONARDO S.R.L. [ACTIVE] | LEONARDO S.R.L. [ACTIVE] | LEONARDO S.R.L. [ACTIVE] | LEONARDO SOCIETA' COOPERATIVA [ACTIVE] | LEONARDO S.R.L. [ACTIVE]
Summit Credit Union,US,1,legal_exact,2549006CSAAG67CX8Z55;254900NTAC4H10MGSU23,Summit Credit Union [ACTIVE] | Summit Credit Union [ACTIVE]
Cornerstone Bank,US,1,legal_exact,254900QXGTL5RYZXK761;5493003LIT6MPMIF5W07;5493005DJAOTPGS83Z81;549300MNVXT92RBYBF93,Cornerstone Bank [ACTIVE] | Cornerstone Bank [ACTIVE] | Cornerstone Bank [ACTIVE] | Cornerstone Bank [ACTIVE]
Norwest Venture Partners,US,1,fuzzy,549300V0P23MYQZZIS23,"NORWEST VENTURE PARTNERS X, LP [ACTIVE]"
ARGO S.A.,PL,1,legal_core,2594008H72JE6G42IJ96;259400I0L6ZT6A0YS445,"""ARGO"" SPÓŁKA AKCYJNA [ACTIVE] | ARGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ [ACTIVE]"
"Indian Institute of Technology (IIT), Goa",IN,2,fuzzy,33580048SAOKJO4JQM67;335800YMVK5NJ3P5CB26;984500D745D81459I572,INDIAN INSTITUTE OF TECHNOLOGY (BANARAS HINDU UNIVERSITY) [ACTIVE] | INDIAN INSTITUTE OF TECHNOLOGY (INDIAN SCHOOL OF MINES) [ACTIVE] | INDIAN INSTITUTE OF TECHNOLOGY [ACTIVE]
Citizens Bank,US,1,legal_exact,254900RQ2FMUUUQUGI02;54930023OB56DYOL3G92;5493002FSR6V2NM1K863;5493004EVKOLRF3JI477;549300CABYW2DE2UTD57;549300E035FX7XMJ6713;549300H8FMI4YLI7X514;549300M723MK3TTJ2783;549300MOKX1F2TX1WK17;549300V4UDO1FVIAXD70;549300V7I9AZRM78QT92;549300WV31PDXKIYPW48;549300YSNNGTWBX45K83;549300ZRZZ5VMD9PF263,CITIZENS BANK [ACTIVE] | Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | The Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | The Citizens Bank [ACTIVE] | The Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | The Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | The Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE]
Hellmann Worldwide Logistics GmbH & Co KG,DE,1,legal_core,52990001WYI3JC9TK021;52990048VBWM9ZPUHJ41;5299007YHTRWA7O47M19;529900MHV1BTD0G16Q89;529900S63XEIXIXTJV36,Hellmann Worldwide Logistics B.V. [ACTIVE] | Hellmann Worldwide Logistics s.r.o. [ACTIVE] | HELLMANN WORLDWIDE LOGISTICS SA [ACTIVE] | Hellmann Worldwide Logistics SRL [ACTIVE] | Hellmann Worldwide Logistics SE & Co. KG [ACTIVE]
A2A Spa,IT,1,legal_core,81560076E3944316DB24;8156007A915879B50C41,A2A S.P.A. [ACTIVE] | A2A S.R.L. [ACTIVE]
Digital Federal Credit Union,US,1,legal_core,9845001F0CA3E856C364;984500ECB5FCFPA8A560,Digital Investments Inc. [ACTIVE] | DIGITAL LLC [ACTIVE]
Havas SAS,FR,1,legal_core,894500L53AVOFQK7T710;969500C7Z2ZGEXX0JU63;969500EGYS5J8YJ6P956,Havas N.V. [ACTIVE] | HAVAS(HAV2) [ACTIVE] | HAVAS [ACTIVE]
RHB Bank Berhad,MY,1,legal_exact,2549002ZJFR82IL68010;254900QPUP63YC2E0Z47;549300ZHRPSV7QIUJT80,RHB BANK BERHAD [ACTIVE] | RHB Bank Berhad (Bangkok Branch) [ACTIVE] | RHB BANK BERHAD [ACTIVE]
Hannover Rueck SE,DE,1,fuzzy,5299004XX40LWP0QF769;529900KIN5BE45V5KB18,Hannover Rück Stiftung [ACTIVE] | Hannover Rück SE [ACTIVE]
Point72 Asia (Hong Kong) Limited,HK,1,other_name_exact,549300K425NZPOBVYA76;549300WXNKVWCDE8HZ98,Point72 Japan Limited [ACTIVE] | Point72 Hong Kong Limited [ACTIVE]
Miejskie Przedsiebiorstwo Wodociagow i Kanalizacji S.A.,PL,1,legal_core,259400DD9SC8JIDBM268;259400ITO2Z5YVF8QD75,MIEJSKIE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ [ACTIVE] | Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji Spółka z ograniczoną odpowiedzialnością [ACTIVE]
"Lindt & Sprungli (USA), Inc.",US,1,legal_exact,52990031TXSC09PTL640;529900OVQYNNMK51N756,LINDT & SPRUNGLI (USA) INC. [ACTIVE] | LINDT & SPRUNGLI (NORTH AMERICA) INC. [ACTIVE]
"Match Group, LLC",US,1,legal_core,15OMOPB0A8K0EFUVD031;549300BIJKT86CPCKK96,"MATCH GROUP, INC. [ACTIVE] | Match Group, Inc. [ACTIVE]"
Energir L.P.,CA,1,legal_core,549300SULPFDEWWFVD15;549300TVKZM22UUX5J37,"Énergir Inc. [ACTIVE] | Énergir, s.e.c. [ACTIVE]"
ACP IT Solution AG,DE,1,fuzzy,391200WY5JSC5CJKMZ57;391200ZJ83144PAB9I52;5299004DENFRJNV8JV48;894500CI7PX2MUE4QE83,ACP IT Solutions AG [ACTIVE] | ACP IT Solutions GmbH [ACTIVE] | ACP IT Solutions AG [ACTIVE] | ACP IT Solutions AG [ACTIVE]
Mechanics Bank,US,1,legal_exact,254900048S1FLI3G2922;549300TF1E42EUFBSL45,MECHANICS BANK [ACTIVE] | Mechanics Bank [ACTIVE]
LOGICA S.R.L.,IT,1,legal_exact,8156002CE721E912B871;81560031CFC5DE4C3923;815600744CB493E3D003;81560075FBE775793D89;8156007E99B1C32D5164;815600970F25E8C21161;815600B94F010A309727,LOGICA S.R.L. [ACTIVE] | LOGICA S.R.L. [ACTIVE] | LOGICA S.R.L. [ACTIVE] | LOGICA S.R.L. [ACTIVE] | LOGICA S.R.L. [ACTIVE] | LOGICA S.R.L. [ACTIVE] | LOGICA S.R.L. [ACTIVE]
"Cowen Group, Inc",US,2,other_name_exact,5493008QI0EFC5WBED75;549300UTZB77CD3NCJ97,"COWEN INC. [ACTIVE] | COWEN HOLDINGS, INC. [ACTIVE]"
Pacificorp,US,2,legal_exact,549300ZTVE6OQPBMIG23;SGY07Y7FNYBNLM6Z1M11,PacifiCorp [ACTIVE] | PacifiCorp [ACTIVE]
KPMG LLP,GB;US,2,legal_exact,213800S5DHQ6VQ38DY65;5493003PVCIGA21K0K42,KPMG LLP [ACTIVE] | KPMG LLP [ACTIVE]
Redwood Credit Union,US,1,legal_core,254900KAZP5378E26S21;254900Q3WX1ZA4HMYG47;5493001WRXQTCKCA6205;5493004W91KB1UQC7786;5493009VX60UN6LOWM19;549300EY2376P6C77F47,"Redwood LLC [ACTIVE] | Redwood Investments, LLC [ACTIVE] | REDWOOD [ACTIVE] | Redwood Investments, LLC [ACTIVE] | Redwood Investments, L.L.C. [ACTIVE] | REDWOOD INVESTMENTS, LLC [ACTIVE]"
The Citizens Bank,US,1,legal_exact,254900RQ2FMUUUQUGI02;54930023OB56DYOL3G92;5493002FSR6V2NM1K863;5493004EVKOLRF3JI477;549300CABYW2DE2UTD57;549300E035FX7XMJ6713;549300H8FMI4YLI7X514;549300M723MK3TTJ2783;549300MOKX1F2TX1WK17;549300V4UDO1FVIAXD70;549300V7I9AZRM78QT92;549300WV31PDXKIYPW48;549300YSNNGTWBX45K83;549300ZRZZ5VMD9PF263,CITIZENS BANK [ACTIVE] | Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | The Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | The Citizens Bank [ACTIVE] | The Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | The Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE] | The Citizens Bank [ACTIVE] | Citizens Bank [ACTIVE]
"Mizuho Bank, Ltd",JP,2,legal_exact,254900O5B06Y1EPP2H33;549300IJV8X2BVHFN697;549300Q1SX5HWRYOW028,"Mizuho Bank, Ltd. [ACTIVE] | MIZUHO BANK, LTD. [ACTIVE] | MIZUHO BANK, LTD. [ACTIVE]"
"Verity, Inc.",US,1,legal_core,5493002DJXPFQR1E9F38;549300XHF3PMRO08N352,"Verity Investments, LLC [ACTIVE] | VERITY [ACTIVE]"
Impulso Srl,IT,1,legal_exact,815600347B76326A0110;815600B553D7CB8A7C85,IMPULSO SRL [ACTIVE] | IMPULSO SRL [ACTIVE]
Auriga SpA,IT,1,legal_core,81560034920A2790A719;81560070B385751A4F41,AURIGA S.R.L. [ACTIVE] | AURIGA S.P.A. [ACTIVE]
ISABEL N.V.,BE,1,legal_core,529900ULZO7S7JYJ9X64;699400YHOMH10LTTHX23,ISABEL [ACTIVE] | Isabel [ACTIVE]
OM SAI ENTERPRISES,IN,1,legal_exact,335800AVBAHVZ68LVR15;335800FT0OO17ZY0CA65;335800ON4VYRDVHCHP12;335800RE2G6W4Q1WRT98;6488W1B6K6RS3L08L126,OM SAI ENTERPRISES [ACTIVE] | OM SAI ENTERPRISES [ACTIVE] | OM SAI ENTERPRISES [ACTIVE] | OM SAI ENTERPRISES [ACTIVE] | OM SAI ENTERPRISES [ACTIVE]
Swisscom (Schweiz) AG,CH,13,legal_exact,5493005SL9HHOXS3B739;549300JLQCS5OYYYFS40,Swisscom AG [ACTIVE] | Swisscom (Schweiz) AG [ACTIVE]
SAM,US,1,legal_core,549300CVFVK22IB05698;549300WK39I0B8856091,"Sam Investments, Inc. [ACTIVE] | Sam CC, LLC [ACTIVE]"
Morgan Stanley & Co. International PLC,GB,1,legal_exact,4PQUHN3JPFGFNF3BB653;5493001SH1U3XDR9VW46,MORGAN STANLEY & CO. INTERNATIONAL PLC [ACTIVE] | MORGAN STANLEY & CO. INTERNATIONAL PLC (PARIS BRANCH) [ACTIVE]
Royal Realty Corp.,US,1,legal_core,5493005BUWROUO1OPF54;X5Q5YNMWANUI20BYEL70,"Royal Realty, LLC [ACTIVE] | Royal Realty, LLC [ACTIVE]"
Celebrus Technologies plc,GB,1,legal_exact,213800HP3XUS3KTGWT63;984500DJF88E9FFCA882,CELEBRUS TECHNOLOGIES PLC [ACTIVE] | CELEBRUS TECHNOLOGIES PLC [ACTIVE]
Community Bank,US,1,legal_exact,254900R028OZZTTP5D53;5493002HHKWZSFP7AI61;54930056PR716B2KIG98;5493007G0MFTSE8JPV83;5493008JDUT3R3K1LZ58;549300FVMNIRTHZI8Z30;549300NBORKS5M7WQU59;549300YK8RG6J51VOI08,Community Bank [ACTIVE] | Community Bank [ACTIVE] | Community Bank [ACTIVE] | The Community Bank [ACTIVE] | Community Bank [ACTIVE] | Community Bank [ACTIVE] | The Community Bank [ACTIVE] | Community Bank [ACTIVE]
Terega SA,FR,1,legal_core,969500D9BIKJL7H9TB80;969500Y0L922VYT3UI51,TEREGA [ACTIVE] | TEREGA [ACTIVE]
Barclays Bank PLC,GB;IT,4,legal_exact,2549003Q5J2G7ALNU316;G5GSEF7VJP5I7OUK5573,BARCLAYS BANK PLC [ACTIVE] | BARCLAYS BANK PLC [ACTIVE]
Bank Saderat Iran PJSC,IR,1,legal_core,2763RIUHRUXVYE8VBI52;549300KBNGV4NYY3GE68;894500MDF6I8J93LO347,BANK SADERAT IRAN [ACTIVE] | BANK SADERAT IRAN [ACTIVE] | BANK SADERAT IRAN [ACTIVE]
American Bureau of Shipping,US,1,legal_exact,335800TZK2PU6UC9IG56;549300IZD34FIG7DKF25,AMERICAN BUREAU OF SHIPPING [ACTIVE] | AMERICAN BUREAU OF SHIPPING [ACTIVE]
Battery Ventures,US,1,fuzzy,5493001ZNLR9R76OZR73;549300GS6YE6TH8ESH07,"Battery Ventures X, L.P. [ACTIVE] | Battery Ventures X (AIV I), L.P. [ACTIVE]"
The Timken Company,US,1,legal_exact,5493005V7UUD4PX0MI65;B0I35MLPFXZSE70ASS73,THE TIMKEN COMPANY [ACTIVE] | THE TIMKEN COMPANY [ACTIVE]
TOYA S.A.,PL,1,legal_core,259400A803VVMK5TTW96;259400ZNCJSNT4JBBE60,"""TOYA"" SPÓŁKA AKCYJNA [ACTIVE] | ""TOYA""-SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ [ACTIVE]"
ARINC INCORPORATED,US,2,legal_exact,549300YAIIPE8C761D55;894500P5YZE4BKIKY305;894500X9AEAO4CU6X776,ARINC INCORPORATED [ACTIVE] | ARINC INCORPORATED [ACTIVE] | ARINC INCORPORATED [ACTIVE]
Swedbank AS,EE;LV,2,legal_exact,549300FXBIWWGK7T0Y98;549300PHQZ4HL15HH975,"""Swedbank"" AS [ACTIVE] | SWEDBANK AS [ACTIVE]"
Systemair AB,SE,1,legal_core,529900RK1R6HF8KKOI20;549300G4QTHHQBFXU680,Systemair Aktiebolag [ACTIVE] | Systemair Inc. [ACTIVE]
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AU,3,legal_exact,894500UPOAKVAFI0LP62;JHE42UYNWWTJB8YTTU19,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED [ACTIVE] | AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED [ACTIVE]
MELLON TECHNOLOGIES SA,GR,1,other_name_core,2138003SAV4PKPT7CO20;213800MWBKWQJV1ROX61,Ν. ΠΕΤΡΑΚΟΠΟΥΛΟΣ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΣΥΣΤΗΜΑΤΩΝ ΥΨΗΛΗΣ ΤΕΧΝΟΛΟΓΙΑΣ ΚΑΙ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ [ACTIVE] | MELLON TECHNOLOGIES ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΣΥΣΤΗΜΑΤΩΝ ΚΑΙ ΥΠΗΡΕΣΙΩΝ - ΙΔΙΩΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΣΦΑΛΕΙΑΣ [ACTIVE]
Core Laboratories,US,1,legal_core,549300TV21RJZCR7XG31;984500040P5J07V43135,CORE LABORATORIES LP [ACTIVE] | CORE LABORATORIES INC. [ACTIVE]
FIDELIS MARKETING LIMITED,GB,1,legal_exact,254900AP9ZPI9I203M24;254900IVND16WQS4HR59,Fidelis Marketing Limited (Irish Branch) [ACTIVE] | FIDELIS MARKETING LIMITED [ACTIVE]
ACI,US,1,other_name_core,2549009EJX4RLCQ9V222;254900SM6PCNBV2T1T84,ACI WORLDWIDE (PACIFIC) PTY LTD [ACTIVE] | ACI WORLDWIDE (ASIA) PTE. LTD. [ACTIVE]
Avaya LLC,US,2,legal_core,J6LB5QIFSP2MFEFG4U76;VHRNGLJ5ARTGZCG24265,AVAYA INC. [ACTIVE] | AVAYA (JAPAN) LTD. [ACTIVE]
Gates Foundation,US,1,legal_exact,254900958LQ75NB9GC08;335800ELY8A4QWLXQW56,Gates Foundation [ACTIVE] | GATES FOUNDATION [ACTIVE]
Ambrian Energy GmbH,DE,1,legal_exact,529900QDORH8WEHMNM46;529900YZBVFP7OBWP932,Ambrian Energy GmbH [ACTIVE] | Ambrian Energy GmbH [ACTIVE]
Heritage Bank,US,1,legal_exact,254900QOUFAVP0L4K777;5493000H7FLU47PQYQ10;549300Z2B4FHRYOXTS09,Heritage Bank [ACTIVE] | Heritage Bank [ACTIVE] | Heritage Bank [ACTIVE]
Edelweiss Securities Limited,IN,1,other_name_exact,3358002Y23HZBJW49C38;335800GD8Z8M57SWW617,NUVAMA WEALTH MANAGEMENT LIMITED [ACTIVE] | NUVAMA CAPITAL SERVICES (IFSC) LIMITED [ACTIVE]
MetLife,US,1,legal_core,254900DO7QJ1QGIUU724;254900Q2FLTKUJ5YY944;5493002C53S6GXZ78P81;C4BXATY60WC6XEOZDX54,"METLIFE INVESTMENTS PTY LIMITED [ACTIVE] | MetLife Insurance Limited [ACTIVE] | MetLife Investments Limited [ACTIVE] | METLIFE, INC. [ACTIVE]"
AirPlus International GmbH,DE,1,legal_exact,254900EJ351OA759VQ09;529900046FVSVFC80V70;724500R0A4DYTR3KW367,AIRPLUS INTERNATIONAL GMBH [ACTIVE] | AirPlus International GmbH [ACTIVE] | AirPlus International GmbH [ACTIVE]
Delen Private Bank NV,BE,1,legal_core,54930005DD2HH36LIR91;724500YSOB5DV93M6T52,DELEN PRIVATE BANK [ACTIVE] | Delen Private Bank [ACTIVE]
"WesBanco Bank, Inc.",US,1,legal_exact,5493005BSPGKDXD8KD70;QGPGHQ1ENZOOLJRFTH41,"WesBanco Bank, Inc. [ACTIVE] | WesBanco Bank, Inc. [ACTIVE]"
Bank Alfalah Limited,PK,1,legal_exact,25490030MB3LJ3S8TQ65;2549007VBBNOQL2IVZ08;254900FDBLDAFSYUA809;254900LDYRNZ8O4YGP23,Bank Alfalah Limited [ACTIVE] | Bank Alfalah Limited [ACTIVE] | Bank Alfalah Limited [ACTIVE] | Bank Alfalah Limited [ACTIVE]
"Eos Management, Inc.",US,1,legal_core,549300JFGLOUPH211649;549300VO0Q11D4HFGQ37,"EOS MANAGEMENT, L.P. [ACTIVE] | EOS MANAGEMENT, LLC [ACTIVE]"
Farm Credit Services of America,US,2,fuzzy,2549007UWLLXTAVAFR85,"Farm Credit Services of America, PCA [ACTIVE]"
Vodafone Ltd,GB,1,legal_core,213800XCXOXMW1AFMJ64;213800XDQ4JIXUFC5K23,VODAFONE LIMITED [ACTIVE] | VODAFONE FINANCE LIMITED [ACTIVE]
"Rogers Group, Inc.",US,1,legal_exact,549300YN7864A1J2U953;6K4JWKRXFA9GD0NPI161,"ROGERS GROUP, INC. [ACTIVE] | Rogers Group, Inc. [ACTIVE]"
"Infor (US), LLC",US,3,legal_exact,549300Q3IIYBYI4RHD64;CIOT8TLNSHRE7MIBDR09,"INFOR, LLC [ACTIVE] | INFOR (US), LLC [ACTIVE]"
Housing Bank for Trade and Finance PLC.,JO,1,other_name_core,25490080W5BR794FYW42;254900W1L0OY9FNPEA02,بنك الإسكان للتجارة والتمويل [ACTIVE] | بنك الاسكان للتجارة والتمويل [ACTIVE]
CLSA Ltd,HK,1,legal_core,213800OZSOO4CYFYIW32;213800VZMAGVIU2IJA72,CLSA B.V. [ACTIVE] | CLSA (UK) [ACTIVE]
ABS ENTERPRISES,IN,1,legal_exact,648800WVQ8WE779YWP27;6488Y8SMGMC44725D303,ABS ENTERPRISES [ACTIVE] | ABS ENTERPRISES [ACTIVE]
GreenStone Farm Credit Services,US,1,fuzzy,5493005GVJZOXIAH3M79,"GREENSTONE FARM CREDIT SERVICES, ACA [ACTIVE]"
Airbus Defence and Space SAS,FR,2,legal_exact,254900VEHFUUJDMA2455;529900Y4XPC9XGDHPO82,AIRBUS DEFENCE AND SPACE SAS [ACTIVE] | AIRBUS DEFENCE AND SPACE SAS [ACTIVE]
Enbridge Pipelines Inc.,CA,1,legal_exact,549300I7CU6YE54FMU33;549300L85Y760EGOS443,ENBRIDGE PIPELINES INC. [ACTIVE] | Enbridge Pipelines (Athabasca) Inc. [ACTIVE]
China Construction Bank,CN,2,legal_core,2549006EHFY98CQJZN84;2549008XLHWW5H9K1389;378900DD80F66453EC67,China Construction Bank Corporation [ACTIVE] | CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED [ACTIVE] | China Construction Bank Corporation (Incorporated in China) [ACTIVE]
University of Kentucky Federal Credit Union,US,1,legal_core,549300CXE3YQ1HXYCQ71;549300V5YG1VXZAU5G02,University of Kentucky [ACTIVE] | UNIVERSITY OF KENTUCKY [ACTIVE]
G.T. SRL,IT,1,legal_core,8156003CC74CFA1EA004;81560071624696BC9F98;815600B57DBB57432572;98450070DCB9948BE393,G.T. - S.R.L. [ACTIVE] | G.T. S.R.L. [ACTIVE] | G.T. S.R.L. [ACTIVE] | G.T. S.R.L. [ACTIVE]
SECUTEC BV,BE,1,legal_core,2549004L3KP3L8RNIJ35;254900WA7SWV3KZ8IV43,SECUTEC [ACTIVE] | Secutec Corporation [ACTIVE]
Clio S.R.L,IT,2,legal_exact,815600584831939C3306;81560070A2C27EBE3C96,CLIO S.R.L. [ACTIVE] | CLIO S.R.L. [ACTIVE]
"Strata, Inc.",US,1,legal_core,549300NUXQ4W0A4MEN35;549300NXYX3K4WQSGJ17,STRATA CORPORATION [ACTIVE] | STRATA Credit Union [ACTIVE]
ADVANIA UK LIMITED,GB,1,legal_exact,2138009KEN26GJFPKW76;213800MMYFOPSZ61XL64;8945003PC1ZMYYOBKA04,ADVANIA UK (SERVIUM) LIMITED [ACTIVE] | ADVANIA UK LIMITED [ACTIVE] | ADVANIA UK (CCS) LIMITED [ACTIVE]
Macarne Limited,GB;HK,3,legal_exact,25490072Q9D0I8PQ5R27;254900Y85WY94UHMEY24,MACARNE LIMITED [ACTIVE] | Macarne Limited [ACTIVE]
Garg Associate,IN,1,fuzzy,894500S9R0PXUL54ZA58;984500I975042DLEB720,GARG ASSOCIATES [ACTIVE] | GARG ASSOCIATES PRIVATE LIMITED [ACTIVE]
Banque Internationale a Luxembourg SA,LU,1,legal_core,8945007OZPAXKLJP1M70;9CZ7TVMR36CYD5TZBS50,Banque Internationale à Luxembourg [ACTIVE] | Banque Internationale à Luxembourg [ACTIVE]
NATS (En Route) Ltd,GB,1,legal_core,213800AOOCT6JKFY6Z68;213800FF94N2CZ3M9G60;213800RCCVXOSLTPK597,NATS (EN ROUTE) PUBLIC LIMITED COMPANY [ACTIVE] | NATS (SERVICES) LIMITED [ACTIVE] | NATS LIMITED [ACTIVE]
Banco de Sabadell SA,ES,2,legal_core,98450059754BAAFB6F98;SI5RG2M0WQQLZCXKRM20,BANCO DE SABADELL [ACTIVE] | BANCO DE SABADELL S.A. [ACTIVE]
Bird B.V.,NL,2,legal_exact,64883SPF044A77FPY021;724500CB9LGAEG7FGW61,Bird B.V. [ACTIVE] | Bird B.V. [ACTIVE]
BNP PARIBAS S.A.,FR,10,legal_core,2763TSAJ0VP4CVMFM028;R0MUWSFPU8MPRO8K5P83,BNP PARIBAS [ACTIVE] | BNP PARIBAS [ACTIVE]
SISTEMI SPA,IT,1,legal_core,81560084238DD6D3EB80;9845008B4700B2A85575,SISTEMI S.R.L. [ACTIVE] | SISTEMI S.R.L. [ACTIVE]
BANK OF JORDAN CO. LTD.,JO,1,legal_core,254900AAXL5Q96T8A168;254900DM7689GA2MD992;254900XI5ZZJOK7NC049,Bank of Jordan [ACTIVE] | Bank of Jordan Company [ACTIVE] | Bank of Jordan [ACTIVE]
National Bank of Pakistan,PK,1,legal_exact,391200B8N7KWZADUJM27;558600ZCXHMK0GWNY556,National Bank of Pakistan [ACTIVE] | NATIONAL BANK OF PAKISTAN [ACTIVE]
Kleemann GmbH,DE,1,legal_exact,529900566ZN2090ZII93;9845004D91L07082EE12,KLEEMANN GMBH [ACTIVE] | Kleemann GmbH [ACTIVE]
Klarna Bank AB,SE,2,legal_exact,549300O3HXYXXUHR0897;9845004D5B14SCBE7459,Klarna Bank AB [ACTIVE] | KLARNA BANK AB [ACTIVE]
The Salvation Army,US,2,legal_exact,5493005FGG4Y2YFTNM14;549300UQ1LCLSQQ6V491;549300X1SK5BYB8TRH36;REBY2QYKWTQSD2UTPK35,THE SALVATION ARMY [ACTIVE] | THE SALVATION ARMY [ACTIVE] | The Salvation Army [ACTIVE] | THE SALVATION ARMY [ACTIVE]
EDUCATORS CREDIT UNION,US,1,legal_exact,549300FS35FQXZRU4Z45;8945002AZSML1PBU6N20,EDUCATORS CREDIT UNION [ACTIVE] | EDUCATORS CREDIT UNION [ACTIVE]
Copernico s.r.l.,IT,1,legal_exact,5493002BX0VHRPGT2S61;81560034788F94228E95,COPERNICO S.R.L. [ACTIVE] | COPERNICO S.R.L. [ACTIVE]
"UNION BANCAIRE PRIVEE, UBP SA",CH,2,legal_exact,549300PEHUAW62538U24;549300VC6IRQ4ONXWV33;IPLPO8C7P68Q5FFRI280,"UNION BANCAIRE PRIVEE, UBP SA [ACTIVE] | UNION BANCAIRE PRIVEE, UBP SA [ACTIVE] | UNION BANCAIRE PRIVEE, UBP SA [ACTIVE]"
Princeton Digital Group (Singapore) SG1 Pte. Ltd.,SG,1,fuzzy,98450080F076DBCC1561;984500B0E60B9EF4DC15,PRINCETON DIGITAL GROUP (ASIA) PRIVATE LIMITED [ACTIVE] | PRINCETON DIGITAL GROUP (SINGAPORE ALPHA) PTE. LIMITED [ACTIVE]
Scania CV AB,SE,1,legal_core,254900M0EVSUA9NW9840;52990000AKKX75BMWB43;529900BZYSUQLQSPNR07,SCANIA CV AKTIEBOLAG [ACTIVE] | SCANIA Aktiebolag [ACTIVE] | Scania CV Aktiebolag [ACTIVE]
CNA Servizi s.c.r.l.,IT,1,legal_core,815600A23BD277CFA083;815600D5B4828F078315,CNA SERVIZI S.R.L. [ACTIVE] | CNA SERVIZI S.R.L. [ACTIVE]
Limited Liability Company NTCOM,RU,1,fuzzy,254900512TOPXD0SWI45,"Limited Liability Company ""Norma"" [ACTIVE]"
Skandinaviska Enskilda Banken AB,SE,1,legal_exact,724500BFBKP04K9G8B60;F3JS33DEI6XQ4ZBPTN86,Skandinaviska Enskilda Banken AB [ACTIVE] | Skandinaviska Enskilda Banken AB [ACTIVE]
First Financial Bank NA,US,1,fuzzy,254900CNZPI5WN45KW48;549300IVURCTJ6QVMD67;549300YIZECN2NB3I529;MV4O55SH8HO6KQSGW013,First Financial Bank [ACTIVE] | First Financial Bank [ACTIVE] | First Financial Bank [ACTIVE] | First Financial Bank [ACTIVE]
Five Star Bank,US,1,legal_exact,5493006LH4LKHY2EIN26;549300GYK7N8U42X9587,Five Star Bank [ACTIVE] | Five Star Bank [ACTIVE]
First American Bank,US,1,legal_exact,5493005KZM1DEUYVS783;XC7Z0BA39TU7L1AKOJ12,First American Bank [ACTIVE] | First American Bank [ACTIVE]
AltaLink LP,CA,1,legal_core,549300FMC7ABSCYLX778;549300QLDB6NIVNOYC65,"ALTALINK, L.P. [ACTIVE] | ALTALINK INVESTMENTS, L.P. [ACTIVE]"
FENICE SRL,IT,1,legal_exact,815600EAD8ECACE54F54;815600FF7472C543A074;894500DR6HKSYVOOSR64;9845003F098C2BF1A123,"""FENICE SRL"" [ACTIVE] | FENICE SRL [ACTIVE] | FENICE SRL [ACTIVE] | FENICE SRL [ACTIVE]"
